IP 地址,端口,TLS,Region,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.1.197,443,TRUE,California,4,4,0,197.94,19.63
104.17.0.123,443,TRUE,California,4,4,0,186.84,18.27
104.17.1.255,443,TRUE,California,4,4,0,196.49,18.14
104.17.0.126,443,TRUE,California,4,4,0,186.49,18.1
104.17.1.61,443,TRUE,California,4,4,0,165.03,17.75
104.17.1.62,443,TRUE,California,4,4,0,165.66,17.71
104.17.1.28,443,TRUE,California,4,4,0,180.16,17.54
104.16.249.216,443,TRUE,California,4,4,0,186.55,17.44
104.17.1.142,443,TRUE,California,4,4,0,165.71,17.38
104.16.252.233,443,TRUE,California,4,4,0,195.35,17.14
104.16.251.10,443,TRUE,California,4,4,0,198.53,17.07
104.16.255.65,443,TRUE,California,4,4,0,164.68,16.96
104.17.3.33,443,TRUE,California,4,4,0,191.25,16.93
104.16.253.95,443,TRUE,California,4,4,0,184.44,16.85
104.17.2.31,443,TRUE,California,4,4,0,195.47,16.76
104.16.248.63,443,TRUE,California,4,4,0,182.75,16.74
104.16.248.135,443,TRUE,California,4,4,0,187.54,16.74
104.16.245.21,443,TRUE,California,4,4,0,184.81,16.72
104.17.1.8,443,TRUE,California,4,4,0,186.89,16.64
104.17.0.243,443,TRUE,California,4,4,0,187.64,16.61
104.16.248.84,443,TRUE,California,4,4,0,195.72,16.6
104.17.0.127,443,TRUE,California,4,4,0,194.96,16.6
104.16.253.155,443,TRUE,California,4,4,0,186.61,16.58
104.16.253.194,443,TRUE,California,4,4,0,186.58,16.56
104.16.245.59,443,TRUE,California,4,4,0,182.6,16.56
104.17.1.220,443,TRUE,California,4,4,0,183.7,16.54
104.17.2.55,443,TRUE,California,4,4,0,195.4,16.41
104.16.255.184,443,TRUE,California,4,4,0,180.72,16.29
104.17.1.70,443,TRUE,California,4,4,0,192.11,16.25
104.17.3.31,443,TRUE,California,4,4,0,186.75,16.14
104.16.251.84,443,TRUE,California,4,4,0,197.38,16.11
104.16.251.215,443,TRUE,California,4,4,0,183.77,16.11
104.17.1.64,443,TRUE,California,4,4,0,179.48,16
104.16.246.166,443,TRUE,California,4,4,0,187.74,15.98
104.16.248.178,443,TRUE,California,4,4,0,195.72,15.94
104.16.245.254,443,TRUE,California,4,4,0,198.26,15.94
104.16.250.82,443,TRUE,California,4,4,0,182.46,15.92
104.16.244.69,443,TRUE,California,4,4,0,186.64,15.9
104.16.248.66,443,TRUE,California,4,4,0,187.81,15.87
104.17.2.143,443,TRUE,California,4,4,0,188.84,15.86
104.16.249.158,443,TRUE,California,4,4,0,188.73,15.86
104.16.253.211,443,TRUE,California,4,4,0,197.52,15.82
104.16.245.162,443,TRUE,California,4,4,0,198.37,15.81
104.16.247.137,443,TRUE,California,4,4,0,180.21,15.8
104.17.1.14,443,TRUE,California,4,4,0,185.45,15.79
104.16.246.164,443,TRUE,California,4,4,0,186.48,15.76
104.16.254.11,443,TRUE,California,4,4,0,176.87,15.74
104.16.245.39,443,TRUE,California,4,4,0,207.39,15.73
104.16.254.239,443,TRUE,California,4,4,0,183.52,15.7
104.16.245.224,443,TRUE,California,4,4,0,180.28,15.66
104.16.252.65,443,TRUE,California,4,4,0,206.99,15.66
104.17.1.11,443,TRUE,California,4,4,0,182.94,15.65
104.16.249.174,443,TRUE,California,4,4,0,179.92,15.63
104.16.254.121,443,TRUE,California,4,4,0,183.74,15.63
104.17.1.222,443,TRUE,California,4,4,0,190.18,15.62
104.16.248.209,443,TRUE,California,4,4,0,195.77,15.62
104.16.248.32,443,TRUE,California,4,4,0,187.46,15.61
104.16.246.76,443,TRUE,California,4,4,0,198.09,15.6
104.17.2.194,443,TRUE,California,4,4,0,184.12,15.6
104.17.1.76,443,TRUE,California,4,4,0,186.5,15.6
104.16.252.232,443,TRUE,California,4,4,0,181.24,15.59
104.17.1.179,443,TRUE,California,4,4,0,183.77,15.58
104.16.249.52,443,TRUE,California,4,4,0,186.63,15.58
104.16.244.199,443,TRUE,California,4,4,0,199.51,15.57
104.17.0.110,443,TRUE,California,4,4,0,196.27,15.56
104.16.252.129,443,TRUE,California,4,4,0,197.58,15.54
104.17.1.249,443,TRUE,California,4,4,0,187.52,15.53
104.16.244.51,443,TRUE,California,4,4,0,187.61,15.52
104.17.3.70,443,TRUE,California,4,4,0,183.23,15.5
104.16.249.74,443,TRUE,California,4,4,0,183.24,15.47
104.16.251.147,443,TRUE,California,4,4,0,184.45,15.44
104.16.246.2,443,TRUE,California,4,4,0,193.16,15.41
104.16.252.157,443,TRUE,California,4,4,0,195.95,15.39
104.16.244.129,443,TRUE,California,4,4,0,184.75,15.38
104.16.244.15,443,TRUE,California,4,4,0,189.16,15.37
104.16.254.86,443,TRUE,California,4,4,0,184.84,15.37
104.16.249.172,443,TRUE,California,4,4,0,198.38,15.36
104.16.244.92,443,TRUE,California,4,4,0,184.11,15.36
104.16.253.35,443,TRUE,California,4,4,0,182.86,15.35
104.16.251.4,443,TRUE,California,4,4,0,183.2,15.34
104.16.254.131,443,TRUE,California,4,4,0,192.97,15.34
104.16.251.197,443,TRUE,California,4,4,0,186.97,15.32
104.17.3.81,443,TRUE,California,4,4,0,208,15.31
104.16.252.86,443,TRUE,California,4,4,0,180.91,15.31
104.16.245.51,443,TRUE,California,4,4,0,198.25,15.3
104.16.245.219,443,TRUE,California,4,4,0,175.78,15.3
104.16.246.22,443,TRUE,California,4,4,0,198.45,15.3
104.17.2.84,443,TRUE,California,4,4,0,183.88,15.3
104.16.249.160,443,TRUE,California,4,4,0,187.71,15.3
104.16.250.0,443,TRUE,California,4,4,0,186.43,15.29
104.16.248.116,443,TRUE,California,4,4,0,179.9,15.29
104.16.254.35,443,TRUE,California,4,4,0,202.11,15.28
104.16.252.67,443,TRUE,California,4,4,0,193.7,15.28
104.16.249.75,443,TRUE,California,4,4,0,187.8,15.27
104.17.2.150,443,TRUE,California,4,4,0,183.66,15.27
104.16.249.244,443,TRUE,California,4,4,0,193.66,15.27
104.16.244.67,443,TRUE,California,4,4,0,199.08,15.26
104.16.245.67,443,TRUE,California,4,4,0,197.66,15.23
104.16.245.190,443,TRUE,California,4,4,0,199.08,15.26
104.16.255.76,443,TRUE,California,4,4,0,197.66,15.23
