IP 地址,端口,TLS,Region,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.244.105,443,TRUE,California,4,4,0,197.94,19.63
104.18.255.15,443,TRUE,California,4,4,0,186.84,18.27
104.18.244.0,443,TRUE,California,4,4,0,196.49,18.14
104.18.244.63,443,TRUE,California,4,4,0,186.49,18.1
104.18.248.119,443,TRUE,California,4,4,0,165.03,17.75
104.18.244.120,443,TRUE,California,4,4,0,165.66,17.71
104.18.243.247,443,TRUE,California,4,4,0,180.16,17.54
104.18.251.104,443,TRUE,California,4,4,0,186.55,17.44
104.18.248.170,443,TRUE,California,4,4,0,165.71,17.38
104.18.249.71,443,TRUE,California,4,4,0,195.35,17.14
104.18.249.138,443,TRUE,California,4,4,0,198.53,17.07
104.18.252.35,443,TRUE,California,4,4,0,164.68,16.96
104.18.251.112,443,TRUE,California,4,4,0,191.25,16.93
104.19.0.239,443,TRUE,California,4,4,0,184.44,16.85
104.18.248.210,443,TRUE,California,4,4,0,195.47,16.76
104.19.3.99,443,TRUE,California,4,4,0,182.75,16.74
104.19.1.249,443,TRUE,California,4,4,0,187.54,16.74
104.19.2.112,443,TRUE,California,4,4,0,184.81,16.72
104.19.0.255,443,TRUE,California,4,4,0,186.89,16.64
104.19.2.84,443,TRUE,California,4,4,0,187.64,16.61
104.18.244.139,443,TRUE,California,4,4,0,195.72,16.6
104.18.249.12,443,TRUE,California,4,4,0,194.96,16.6
104.18.249.101,443,TRUE,California,4,4,0,186.61,16.58
104.18.254.172,443,TRUE,California,4,4,0,186.58,16.56
104.18.250.208,443,TRUE,California,4,4,0,182.6,16.56
104.18.245.183,443,TRUE,California,4,4,0,183.7,16.54
104.18.255.178,443,TRUE,California,4,4,0,195.4,16.41
104.18.254.175,443,TRUE,California,4,4,0,180.72,16.29
104.18.251.31,443,TRUE,California,4,4,0,192.11,16.25
104.18.246.240,443,TRUE,California,4,4,0,186.75,16.14
104.19.1.39,443,TRUE,California,4,4,0,197.38,16.11
104.18.243.246,443,TRUE,California,4,4,0,183.77,16.11
104.18.254.201,443,TRUE,California,4,4,0,179.48,16
104.18.248.0,443,TRUE,California,4,4,0,187.74,15.98
104.18.246.21,443,TRUE,California,4,4,0,195.72,15.94
104.18.255.149,443,TRUE,California,4,4,0,198.26,15.94
104.18.245.83,443,TRUE,California,4,4,0,182.46,15.92
104.18.253.110,443,TRUE,California,4,4,0,186.64,15.9
104.18.251.196,443,TRUE,California,4,4,0,187.81,15.87
104.18.253.74,443,TRUE,California,4,4,0,188.84,15.86
104.18.245.193,443,TRUE,California,4,4,0,188.73,15.86
104.18.246.125,443,TRUE,California,4,4,0,197.52,15.82
104.18.251.156,443,TRUE,California,4,4,0,198.37,15.81
104.18.252.73,443,TRUE,California,4,4,0,180.21,15.8
104.18.244.129,443,TRUE,California,4,4,0,185.45,15.79
104.18.251.246,443,TRUE,California,4,4,0,186.48,15.76
104.18.250.20,443,TRUE,California,4,4,0,176.87,15.74
104.18.250.125,443,TRUE,California,4,4,0,207.39,15.73
