IP 地址,端口,TLS,Region,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.77.209,443,TRUE,California,4,4,0,197.94,19.63
104.19.73.198,443,TRUE,California,4,4,0,186.84,18.27
104.19.63.234,443,TRUE,California,4,4,0,196.49,18.14
104.19.67.150,443,TRUE,California,4,4,0,186.49,18.1
104.19.65.50,443,TRUE,California,4,4,0,165.03,17.75
104.19.70.229,443,TRUE,California,4,4,0,165.66,17.71
104.19.73.147,443,TRUE,California,4,4,0,180.16,17.54
104.19.77.54,443,TRUE,California,4,4,0,186.55,17.44
104.19.64.234,443,TRUE,California,4,4,0,165.71,17.38
104.19.76.60,443,TRUE,California,4,4,0,195.35,17.14
104.19.72.219,443,TRUE,California,4,4,0,198.53,17.07
104.19.77.192,443,TRUE,California,4,4,0,164.68,16.96
104.19.74.167,443,TRUE,California,4,4,0,191.25,16.93
104.19.75.163,443,TRUE,California,4,4,0,184.44,16.85
104.19.75.86,443,TRUE,California,4,4,0,195.47,16.76
104.19.67.46,443,TRUE,California,4,4,0,182.75,16.74
104.19.74.124,443,TRUE,California,4,4,0,187.54,16.74
104.19.72.40,443,TRUE,California,4,4,0,184.81,16.72
104.19.76.19,443,TRUE,California,4,4,0,186.89,16.64
104.19.74.232,443,TRUE,California,4,4,0,187.64,16.61
104.19.64.73,443,TRUE,California,4,4,0,195.72,16.6
104.19.63.170,443,TRUE,California,4,4,0,194.96,16.6
104.19.69.160,443,TRUE,California,4,4,0,186.61,16.58
104.19.77.142,443,TRUE,California,4,4,0,186.58,16.56
104.19.64.216,443,TRUE,California,4,4,0,182.6,16.56
104.19.72.9,443,TRUE,California,4,4,0,183.7,16.54
104.19.72.244,443,TRUE,California,4,4,0,195.4,16.41
104.19.65.190,443,TRUE,California,4,4,0,180.72,16.29
104.19.77.247,443,TRUE,California,4,4,0,192.11,16.25
104.19.66.144,443,TRUE,California,4,4,0,186.75,16.14
104.19.74.46,443,TRUE,California,4,4,0,197.38,16.11
104.19.72.104,443,TRUE,California,4,4,0,183.77,16.11
104.19.63.192,443,TRUE,California,4,4,0,179.48,16
104.19.77.235,443,TRUE,California,4,4,0,187.74,15.98
104.19.64.190,443,TRUE,California,4,4,0,195.72,15.94
