IP 地址,端口,TLS,Region,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.74.171,443,TRUE,California,4,4,0,198.26,15.94
104.19.65.148,443,TRUE,California,4,4,0,182.46,15.92
104.19.72.200,443,TRUE,California,4,4,0,186.64,15.9
104.19.74.102,443,TRUE,California,4,4,0,187.81,15.87
104.19.66.226,443,TRUE,California,4,4,0,188.84,15.86
104.19.66.152,443,TRUE,California,4,4,0,188.73,15.86
104.19.64.28,443,TRUE,California,4,4,0,197.52,15.82
104.19.74.134,443,TRUE,California,4,4,0,198.37,15.81
104.19.74.180,443,TRUE,California,4,4,0,180.21,15.8
104.19.66.135,443,TRUE,California,4,4,0,185.45,15.79
104.19.76.91,443,TRUE,California,4,4,0,186.48,15.76
104.19.66.213,443,TRUE,California,4,4,0,176.87,15.74
104.19.66.154,443,TRUE,California,4,4,0,207.39,15.73
104.19.66.85,443,TRUE,California,4,4,0,183.52,15.7
104.19.74.3,443,TRUE,California,4,4,0,180.28,15.66
104.19.77.233,443,TRUE,California,4,4,0,206.99,15.66
104.19.71.209,443,TRUE,California,4,4,0,182.94,15.65
104.19.75.28,443,TRUE,California,4,4,0,179.92,15.63
104.19.76.40,443,TRUE,California,4,4,0,183.74,15.63
104.19.65.206,443,TRUE,California,4,4,0,190.18,15.62
104.19.76.184,443,TRUE,California,4,4,0,195.77,15.62
104.19.63.127,443,TRUE,California,4,4,0,187.46,15.61
104.19.68.79,443,TRUE,California,4,4,0,198.09,15.6
104.19.63.253,443,TRUE,California,4,4,0,184.12,15.6
104.19.73.177,443,TRUE,California,4,4,0,186.5,15.6
104.19.63.245,443,TRUE,California,4,4,0,181.24,15.59
104.19.65.40,443,TRUE,California,4,4,0,183.77,15.58
104.19.71.248,443,TRUE,California,4,4,0,186.63,15.58
104.19.74.209,443,TRUE,California,4,4,0,199.51,15.57
104.19.65.192,443,TRUE,California,4,4,0,196.27,15.56
104.19.73.83,443,TRUE,California,4,4,0,197.58,15.54
104.19.65.205,443,TRUE,California,4,4,0,187.52,15.53
104.19.77.48,443,TRUE,California,4,4,0,187.61,15.52
104.19.73.0,443,TRUE,California,4,4,0,183.23,15.5
104.19.72.179,443,TRUE,California,4,4,0,183.24,15.47
104.19.71.123,443,TRUE,California,4,4,0,184.45,15.44
104.19.75.250,443,TRUE,California,4,4,0,193.16,15.41
104.19.70.142,443,TRUE,California,4,4,0,195.95,15.39
104.19.63.129,443,TRUE,California,4,4,0,184.75,15.38
104.19.73.16,443,TRUE,California,4,4,0,189.16,15.37
104.19.73.82,443,TRUE,California,4,4,0,184.84,15.37
104.19.64.252,443,TRUE,California,4,4,0,198.38,15.36
104.19.73.71,443,TRUE,California,4,4,0,184.11,15.36
104.19.76.240,443,TRUE,California,4,4,0,182.86,15.35
104.19.72.71,443,TRUE,California,4,4,0,183.2,15.34
104.19.76.163,443,TRUE,California,4,4,0,192.97,15.34
104.19.67.137,443,TRUE,California,4,4,0,186.97,15.32
104.19.64.161,443,TRUE,California,4,4,0,208,15.31
104.19.75.129,443,TRUE,California,4,4,0,180.91,15.31
104.19.66.218,443,TRUE,California,4,4,0,198.25,15.3
104.19.71.11,443,TRUE,California,4,4,0,175.78,15.3
104.19.68.51,443,TRUE,California,4,4,0,198.45,15.3
104.19.66.51,443,TRUE,California,4,4,0,183.88,15.3
104.19.66.138,443,TRUE,California,4,4,0,187.71,15.3
104.19.67.75,443,TRUE,California,4,4,0,186.43,15.29
104.19.67.23,443,TRUE,California,4,4,0,179.9,15.29
104.19.76.2,443,TRUE,California,4,4,0,202.11,15.28
104.19.70.36,443,TRUE,California,4,4,0,193.7,15.28
104.19.63.251,443,TRUE,California,4,4,0,187.8,15.27
104.19.71.140,443,TRUE,California,4,4,0,183.66,15.27
104.19.67.231,443,TRUE,California,4,4,0,193.66,15.27
104.19.65.33,443,TRUE,California,4,4,0,199.08,15.26
104.19.64.140,443,TRUE,California,4,4,0,197.66,15.23
104.19.74.225,443,TRUE,California,4,4,0,199.08,15.26
104.19.65.254,443,TRUE,California,4,4,0,197.66,15.23
