IP 地址,端口,TLS,Region,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.43.165,443,TRUE,California,4,4,0,197.94,19.63
104.18.42.251,443,TRUE,California,4,4,0,186.84,18.27
104.18.46.71,443,TRUE,California,4,4,0,196.49,18.14
104.18.42.236,443,TRUE,California,4,4,0,186.49,18.1
104.18.46.187,443,TRUE,California,4,4,0,165.03,17.75
104.18.41.198,443,TRUE,California,4,4,0,165.66,17.71
104.18.46.162,443,TRUE,California,4,4,0,180.16,17.54
104.18.42.193,443,TRUE,California,4,4,0,186.55,17.44
104.18.40.55,443,TRUE,California,4,4,0,165.71,17.38
104.18.46.197,443,TRUE,California,4,4,0,195.35,17.14
104.18.41.152,443,TRUE,California,4,4,0,198.53,17.07
104.18.41.31,443,TRUE,California,4,4,0,164.68,16.96
104.18.44.98,443,TRUE,California,4,4,0,191.25,16.93
104.18.47.94,443,TRUE,California,4,4,0,184.44,16.85
104.18.44.95,443,TRUE,California,4,4,0,195.47,16.76
104.18.42.69,443,TRUE,California,4,4,0,182.75,16.74
104.18.45.195,443,TRUE,California,4,4,0,187.54,16.74
104.18.42.196,443,TRUE,California,4,4,0,184.81,16.72
104.18.41.206,443,TRUE,California,4,4,0,186.89,16.64
104.18.43.193,443,TRUE,California,4,4,0,187.64,16.61
104.18.42.252,443,TRUE,California,4,4,0,195.72,16.6
104.18.46.126,443,TRUE,California,4,4,0,194.96,16.6
104.18.46.104,443,TRUE,California,4,4,0,186.61,16.58
104.18.47.81,443,TRUE,California,4,4,0,186.58,16.56
104.18.46.195,443,TRUE,California,4,4,0,182.6,16.56
104.18.51.62,443,TRUE,California,4,4,0,183.7,16.54
104.18.40.160,443,TRUE,California,4,4,0,195.4,16.41
104.18.42.237,443,TRUE,California,4,4,0,180.72,16.29
104.18.44.47,443,TRUE,California,4,4,0,192.11,16.25
104.18.42.111,443,TRUE,California,4,4,0,186.75,16.14
104.18.51.64,443,TRUE,California,4,4,0,197.38,16.11
104.18.41.105,443,TRUE,California,4,4,0,183.77,16.11
104.18.44.179,443,TRUE,California,4,4,0,179.48,16
104.18.50.171,443,TRUE,California,4,4,0,187.74,15.98
104.18.51.154,443,TRUE,California,4,4,0,195.72,15.94
104.18.40.189,443,TRUE,California,4,4,0,198.26,15.94
104.18.46.17,443,TRUE,California,4,4,0,182.46,15.92
104.18.48.198,443,TRUE,California,4,4,0,186.64,15.9
104.18.48.171,443,TRUE,California,4,4,0,187.81,15.87
104.18.48.148,443,TRUE,California,4,4,0,188.84,15.86
104.18.40.86,443,TRUE,California,4,4,0,188.73,15.86
104.18.43.247,443,TRUE,California,4,4,0,197.52,15.82
104.18.51.61,443,TRUE,California,4,4,0,198.37,15.81
104.18.49.26,443,TRUE,California,4,4,0,180.21,15.8
104.18.51.202,443,TRUE,California,4,4,0,185.45,15.79
104.18.52.176,443,TRUE,California,4,4,0,186.48,15.76
104.18.54.38,443,TRUE,California,4,4,0,176.87,15.74
104.18.41.236,443,TRUE,California,4,4,0,207.39,15.73
104.18.45.190,443,TRUE,California,4,4,0,183.52,15.7
104.18.53.91,443,TRUE,California,4,4,0,180.28,15.66
104.18.52.48,443,TRUE,California,4,4,0,206.99,15.66
104.18.53.191,443,TRUE,California,4,4,0,182.94,15.65
104.18.49.54,443,TRUE,California,4,4,0,179.92,15.63
104.18.52.34,443,TRUE,California,4,4,0,183.74,15.63
104.18.42.110,443,TRUE,California,4,4,0,190.18,15.62
104.18.52.135,443,TRUE,California,4,4,0,195.77,15.62
104.18.53.135,443,TRUE,California,4,4,0,187.46,15.61
104.18.48.251,443,TRUE,California,4,4,0,198.09,15.6
104.18.52.148,443,TRUE,California,4,4,0,184.12,15.6
104.18.48.90,443,TRUE,California,4,4,0,186.5,15.6
104.18.54.133,443,TRUE,California,4,4,0,181.24,15.59
104.18.43.195,443,TRUE,California,4,4,0,183.77,15.58
104.18.51.198,443,TRUE,California,4,4,0,186.63,15.58
104.18.48.237,443,TRUE,California,4,4,0,199.51,15.57
104.18.41.205,443,TRUE,California,4,4,0,196.27,15.56
104.18.46.80,443,TRUE,California,4,4,0,197.58,15.54
104.18.42.72,443,TRUE,California,4,4,0,187.52,15.53
104.18.40.39,443,TRUE,California,4,4,0,187.61,15.52
104.18.42.26,443,TRUE,California,4,4,0,183.23,15.5
104.18.43.32,443,TRUE,California,4,4,0,183.24,15.47
104.18.54.226,443,TRUE,California,4,4,0,184.45,15.44
104.18.48.140,443,TRUE,California,4,4,0,193.16,15.41
104.18.55.5,443,TRUE,California,4,4,0,195.95,15.39
